Country,Year,Medal
Portugal,2012,No medal
Mozambique,1984,No medal
Belarus,2012,No medal
Russia,1996,No medal
Russia,1996,No medal
Russia,2000,Bronze
Soviet Union,1980,Bronze
Soviet Union,1988,No medal
Russia,2000,No medal
Russia,2000,No medal
Russia,2016,No medal
Russia,2016,No medal
Belarus,2016,Gold
Belarus,2012,Silver
Kazakhstan,2000,No medal
Russia,2004,Silver
Russia,2008,No medal
Russia,2012,No medal
Russia,2016,No medal
Belarus,1996,No medal
Slovakia,1996,No medal
Slovakia,1996,No medal
Slovakia,1996,Bronze
Slovakia,2000,No medal
Slovakia,2000,No medal
Slovakia,2004,Bronze
Slovakia,2004,No medal
Slovakia,2004,No medal
Slovakia,2008,No medal
Slovakia,2008,No medal
Slovakia,2012,No medal
Slovakia,2012,No medal
Slovakia,2012,No medal
Hungary,1988,No medal
Hungary,1988,No medal
Hungary,1992,No medal
Hungary,1992,No medal
Hungary,1980,No medal
Canada,2004,No medal
Canada,2008,No medal
Japan,2012,No medal
Hungary,2012,No medal
France,1988,No medal
China,1988,No medal
South Korea,1996,No medal
South Korea,2008,No medal
South Korea,1988,No medal
China,2012,Silver
China,2016,No medal
China,2016,No medal
China,2016,Gold
China,2012,No medal
China,2016,No medal
China,2008,No medal
China,2012,Bronze
China,2016,No medal
China,1988,No medal
China,2004,No medal
China,2016,Gold
China,1992,No medal
China,1996,No medal
China,2000,Gold
Ecuador,2008,No medal
Ecuador,2012,No medal
Argentina,1984,No medal
Argentina,1984,No medal
South Africa,2016,No medal
Switzerland,1992,No medal
South Africa,2000,No medal
Antigua and Barbuda,1996,No medal
East Germany,1980,No medal
Germany,2016,No medal
Romania,2016,No medal
Poland,1992,No medal
Brazil,2004,No medal
Jamaica,2004,No medal
Jamaica,2012,No medal
Jamaica,2012,No medal
United States,1984,No medal
United States,1984,Gold
Spain,1988,No medal
Mexico,1984,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1996,No medal
Chile,1984,No medal
Argentina,1992,No medal
Argentina,2008,No medal
Costa Rica,1984,No medal
France,1980,No medal
France,1984,No medal
France,1988,No medal
Puerto Rico,1992,No medal
Argentina,2012,No medal
Argentina,2016,No medal
Colombia,1984,No medal
Colombia,1988,No medal
Spain,2000,No medal
Cuba,2000,No medal
Cuba,2000,No medal
Argentina,2008,No medal
Cuba,2008,No medal
Cuba,2012,No medal
Spain,1980,No medal
Venezuela,2008,No medal
Venezuela,2012,No medal
Venezuela,2016,No medal
Spain,1996,Silver
Puerto Rico,1984,Bronze
Mexico,2016,No medal
Cuba,2008,No medal
Cuba,2012,Silver
Cuba,2016,No medal
Spain,2004,No medal
Spain,2008,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1988,No medal
Spain,1988,No medal
Spain,1996,No medal
Mexico,1980,No medal
Spain,1992,No medal
Spain,1996,No medal
Spain,1996,No medal
Australia,2000,No medal
Argentina,2016,No medal
Chile,2012,No medal
Mexico,1996,No medal
Cuba,1992,Bronze
Cuba,1996,Gold
Cuba,2000,Silver
Cuba,2004,Bronze
Cuba,2008,No medal
Puerto Rico,1996,No medal
Peru,1992,No medal
Peru,1992,No medal
Peru,1996,No medal
Peru,1996,No medal
Cuba,1996,No medal
Cuba,2000,No medal
Mexico,2008,No medal
Mexico,2008,No medal
Mexico,1992,No medal
Mexico,1992,No medal
Argentina,2008,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Spain,2012,No medal
Mexico,2008,No medal
Mexico,2008,No medal
Mexico,2012,No medal
Mexico,2012,No medal
Chile,2004,Bronze
Chile,2004,Gold
Chile,2008,Silver
Chile,2008,No medal
Spain,2000,No medal
Venezuela,2004,No medal
Colombia,2000,No medal
Venezuela,2000,No medal
Venezuela,2004,No medal
Argentina,1992,No medal
Argentina,1996,No medal
Spain,2000,No medal
Colombia,1980,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Spain,2016,No medal
Spain,2016,No medal
Colombia,1996,No medal
Colombia,2000,No medal
Spain,1992,No medal
Spain,1984,No medal
Spain,1980,No medal
Mexico,1996,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,2004,No medal
Colombia,1992,No medal
Spain,2012,Gold
Spain,2016,Bronze
Puerto Rico,2008,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1984,No medal
Spain,1988,No medal
Spain,1988,No medal
Spain,1988,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1992,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,2000,No medal
Spain,2000,No medal
Puerto Rico,1984,No medal
Puerto Rico,1992,No medal
Puerto Rico,1996,No medal
Puerto Rico,1996,No medal
Spain,2004,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,1992,No medal
Argentina,2016,No medal
Spain,1996,No medal
Spain,1996,No medal
Spain,2000,No medal
Cuba,2000,No medal
Guatemala,1996,No medal
Andorra,1992,No medal
Dominican Republic,2004,No medal
Cuba,1992,No medal
Cuba,1996,No medal
El Salvador,1984,No medal
Paraguay,2004,Silver
Mexico,1996,No medal
Argentina,2004,Gold
Spain,2008,No medal
Spain,2016,No medal
Colombia,2016,No medal
Cuba,2004,No medal
Cuba,2004,No medal
Cuba,2004,No medal
Cuba,2004,No medal
Cuba,2004,No medal
Cuba,1980,No medal
Argentina,2004,Gold
Spain,1992,No medal
Venezuela,2008,No medal
Cuba,2008,No medal
Chile,1984,No medal
Chile,1988,No medal
Spain,1984,No medal
Spain,1988,No medal
Spain,1992,Silver
Puerto Rico,1996,No medal
Venezuela,2008,No medal
Spain,1996,No medal
Mexico,2016,Silver
Venezuela,2004,No medal
Venezuela,2008,No medal
Argentina,1996,No medal
Argentina,2004,Bronze
Argentina,2008,Bronze
Argentina,2004,Gold
Cuba,2004,No medal
Cuba,1992,No medal
Cuba,1992,No medal
Cuba,1996,No medal
Cuba,1996,No medal
Mexico,1988,Bronze
Mexico,1992,No medal
Spain,1992,Gold
Spain,1996,No medal
Spain,2016,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Argentina-1,2016,No medal
Cuba,2000,No medal
Cuba,2008,No medal
Mexico,2004,No medal
United States,2012,No medal
United States,2016,No medal
Paraguay,1988,No medal
Mexico,1988,No medal
Cuba,2004,No medal
Cuba,2008,No medal
Cuba,2012,No medal
Mexico,2004,No medal
Mexico,1992,No medal
Cuba,2004,Gold
Cuba,2008,Silver
Colombia,2000,No medal
Colombia,2004,No medal
Colombia,2012,No medal
Colombia,2012,No medal
Mexico,1996,No medal
Argentina,2004,No medal
Australia,2000,No medal
Australia,2004,Silver
Cuba,1980,No medal
Mexico,1980,No medal
Mexico,1984,No medal
Spain,2016,No medal
Spain,1996,Bronze
Mexico,1980,No medal
Mexico,1980,No medal
Mexico,1984,Silver
Mexico,1984,Gold
Cuba,1980,No medal
Cuba,1992,Silver
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1988,No medal
Mexico,1992,No medal
Mexico,1992,No medal
Mexico,1992,No medal
Mexico,2016,No medal
Argentina,2008,Bronze
Venezuela,1992,No medal
Mexico,2016,No medal
Spain,1992,No medal
Spain,2000,No medal
Spain,2000,No medal
Chile,2000,Bronze
Cuba,2016,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Cuba,1980,No medal
Chile,2012,No medal
Chile,2012,No medal
Chile,2016,No medal
Chile,2016,No medal
Mexico,2012,No medal
Mexico,2016,No medal
Mexico,2016,No medal
Spain,1988,No medal
Colombia,1988,No medal
Cuba,2000,No medal
Cuba,2004,No medal
Cuba,2008,Silver
Cuba,2016,No medal
Cuba,2008,No medal
Cuba,2012,No medal
Spain,1992,No medal
Spain,2004,No medal
Spain,2004,No medal
Ireland,2016,No medal
United States,2008,Gold
Great Britain,1984,No medal
Ireland,2008,No medal
Great Britain-1,1992,No medal
United States,1984,No medal
Great Britain,2016,Bronze
Great Britain,1980,Gold
Great Britain,1980,No medal
Great Britain,1980,Bronze
New Zealand,1992,No medal
New Zealand,1992,No medal
New Zealand,2000,No medal
New Zealand,2004,No medal
New Zealand,2004,No medal
New Zealand,2008,No medal
New Zealand,2008,No medal
Jamaica,1992,No medal
Jamaica,1996,No medal
Jamaica,2000,No medal
Great Britain,2004,No medal
Great Britain,2008,Gold
Great Britain,2012,No medal
Australia,1992,No medal
Australia,1996,No medal
Australia,2016,No medal
Australia,1996,Bronze
Great Britain,2008,No medal
Great Britain,2012,No medal
Canada,1984,No medal
Canada,1988,No medal
Great Britain,1988,No medal
Great Britain,1988,No medal
United States,2012,No medal
Great Britain,1988,No medal
Australia-2,2000,No medal
Netherlands,1996,No medal
Netherlands,2016,No medal
Zimbabwe,1980,No medal
Zimbabwe,1980,No medal
Zimbabwe,1980,No medal
Suriname,1984,No medal
Belgium,2016,No medal
Belgium,1992,No medal
Belgium,1996,No medal
Seychelles,1980,No medal
Yugoslavia,1980,Silver
West Germany,1984,No medal
India,2016,No medal
India,2000,No medal
Soviet Union,1988,Gold
Unified Team,1992,Gold
Russia,1996,No medal
Central African Republic,1988,No medal
Central African Republic,1988,No medal
Soviet Union,1980,Silver
Poland,2016,No medal
Sweden,2012,No medal
Kazakhstan,2012,No medal
Kazakhstan,2012,No medal
Kazakhstan,2012,No medal
Kazakhstan,2012,No medal
Kazakhstan,2012,No medal
Kazakhstan,2012,No medal
Russia,2000,No medal
Russia,2004,No medal
Russia,2004,Bronze
Hungary,2004,No medal
Hungary,2008,No medal
Unified Team,1992,No medal
Russia,2008,Gold
Soviet Union,1980,Bronze
Soviet Union,1980,No medal
Soviet Union,1980,No medal
Belarus,2016,No medal
Belarus,2012,No medal
Belarus,2012,No medal
Belarus,2008,No medal
Russia,2012,No medal
Russia,2004,No medal
Kazakhstan,2008,No medal
Kazakhstan,2008,No medal
Australia,2000,Silver
Great Britain,1992,No medal
United States,1988,Gold
Jamaica,2016,Silver
Australia,1984,No medal
Great Britain,1984,No medal
Great Britain,1988,No medal
Great Britain,1992,No medal
Trinidad and Tobago,2012,No medal
Trinidad and Tobago,2016,No medal
Trinidad and Tobago,2012,Bronze
Trinidad and Tobago,2012,Bronze
Trinidad and Tobago,2016,No medal
Trinidad and Tobago,2016,No medal
Jamaica,1996,No medal
Jamaica,1996,No medal
Canada,1992,No medal
Canada,1996,No medal
Ireland,1984,No medal
Ireland,1984,No medal
Canada,1984,No medal
Great Britain,2004,No medal
Great Britain,2008,No medal
Great Britain,2012,No medal
Hong Kong,1984,No medal
South Africa,1992,No medal
Great Britain,1984,No medal
Soviet Union,1980,No medal
Russia,2000,No medal
Italy,2012,No medal
Italy,2016,No medal
Germany,2016,Silver
Germany,2012,No medal
Germany-1,2012,No medal
Iraq,1988,No medal
Kazakhstan,2016,Bronze
Unified Team,1992,No medal
Italy,2000,No medal
Italy,1980,Bronze
Italy,1984,Bronze
Italy,1988,No medal
Italy,2012,No medal
Italy,2016,Silver
Italy,1980,No medal
Soviet Union,1988,Gold
Australia,2008,No medal
Australia,2008,No medal
Australia,2012,No medal
Australia,1988,No medal
Australia,1996,Bronze
Australia,2000,Silver
Ireland,2016,No medal
Great Britain,1984,No medal
Great Britain,1988,No medal
Unified Team,1992,No medal
Russia,1996,No medal
Russia,1996,Bronze
Russia,2000,No medal
Russia,2000,No medal
Spain,1980,No medal
Spain,1984,No medal
Spain,1988,No medal
Kazakhstan,2004,No medal
Kazakhstan,2012,No medal
Belarus,1996,No medal
Russia,1996,No medal
Russia,2000,Gold
Russia,2004,Bronze
Uruguay,1992,No medal
Uruguay,1992,No medal
Venezuela,2004,No medal
Venezuela,2004,No medal
Peru,1996,No medal
Argentina,1996,No medal
Australia,2016,No medal
Croatia,2008,No medal
Croatia,2008,No medal
Croatia,2008,No medal
Croatia,2012,No medal
Croatia,2016,No medal
Croatia,2016,No medal
Croatia,2016,No medal
Unified Team,1992,Bronze
Russia,1996,No medal
Russia,2000,Silver
Russia,2004,Bronze
Poland,1980,No medal
United States,1984,Gold
West Germany,1988,Bronze
Netherlands,1996,Gold
Netherlands,2000,No medal
Netherlands,2004,No medal
Poland,2012,No medal
Russia,1996,No medal
Russia,2000,Silver
Poland,1992,No medal
Poland,1996,No medal
Spain,1980,No medal
Spain,1980,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1988,No medal
Great Britain,1988,No medal
Great Britain,1992,No medal
Great Britain,1992,No medal
Austria-1,2004,No medal
Austria-1,2008,No medal
South Africa,2008,No medal
Poland,1980,No medal
New Zealand,2004,No medal
West Germany,1988,No medal
Bulgaria,2004,No medal
Bulgaria,1980,No medal
Bulgaria,1988,No medal
Bulgaria,1988,No medal
Canada,2016,Bronze
Australia,2012,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,Silver
Canada,1988,No medal
Canada,1988,No medal
Canada,1988,No medal
Canada,1988,Silver
New Zealand,2016,Silver
United States,1984,No medal
United States,1988,No medal
France,1984,No medal
France,1988,No medal
France,1992,No medal
France,1996,Bronze
Canada,1996,No medal
Canada,2012,No medal
United States,1988,No medal
United States,1988,No medal
United States,1992,No medal
United States,1992,No medal
United States,1996,No medal
Israel,2004,No medal
Israel,2004,No medal
Israel,2004,No medal
Israel,2008,No medal
Israel,2008,No medal
Israel,2008,No medal
Israel,2008,No medal
Hungary,2000,No medal
Hungary,1980,No medal
Puerto Rico,2004,No medal
United States,2008,No medal
Poland,2008,No medal
Japan,1992,No medal
Japan,1992,No medal
Japan,2016,No medal
Latvia,1992,No medal
Latvia,1996,No medal
Latvia,2000,No medal
Latvia,2004,No medal
Great Britain,2016,Gold
Germany,2000,No medal
Germany-1,2000,No medal
Germany,2000,Bronze
Sweden,2016,No medal
Hungary,1992,No medal
Germany,1996,No medal
Germany,2000,Bronze
Germany,2004,No medal
Germany,2004,Bronze
Germany,2008,No medal
Germany,2004,Bronze
South Africa,1992,No medal
Czech Republic,2008,No medal
Cote d'Ivoire,1996,No medal
France,2008,No medal
France,2008,No medal
France,2012,No medal
France,2012,No medal
United States,2000,No medal
United States,2008,No medal
United States,2008,No medal
United States,2012,No medal
Greece,2004,No medal
Iran,2012,Silver
Greece,2000,No medal
Greece,2004,No medal
Great Britain,1988,No medal
Ireland,1992,No medal
New Zealand,2016,No medal
United States,1996,No medal
New Zealand,2008,Bronze
New Zealand,2012,Bronze
Belgium,2012,No medal
Belgium,2016,Silver
Brazil,2016,No medal
Jamaica,2000,No medal
Australia,1984,No medal
Australia,1988,No medal
United States,2008,No medal
United States,2012,Bronze
United States,1988,Bronze
Australia,2016,No medal
New Zealand,1984,No medal
Jamaica,2016,No medal
United States,1988,No medal
Niger,2016,No medal
Morocco,2004,No medal
Morocco,2008,No medal
Greece,2016,No medal
Greece,1980,No medal
Greece,1984,No medal
Algeria,1980,No medal
France,2000,Silver
France,2000,Silver
France,2000,No medal
Niger,2012,No medal
Cuba,1992,Gold
Cuba,2004,Gold
Cuba,2008,Silver
Greece,2000,No medal
Greece,2000,No medal
Greece,2000,No medal
Greece,2004,No medal
Greece,2004,No medal
Portugal,2016,No medal
Netherlands,2008,No medal
Zimbabwe,1988,No medal
Belgium,1992,No medal
Individual Olympic Athletes,1992,No medal
Zambia,2016,No medal
Slovenia,2012,No medal
Australia,2016,No medal
Australia,2012,Bronze
Uganda,1984,No medal
Uganda,1984,No medal
Uganda,1988,No medal
Uganda,1988,No medal
India,1984,No medal
Seychelles,2016,No medal
Italy,1992,No medal
Italy,1992,No medal
Italy,2000,No medal
Belarus,2008,No medal
Belarus-2,2008,No medal
Canada,1988,No medal
Canada,1992,No medal
India,2004,No medal
India,2008,No medal
India,2012,No medal
India,2016,No medal
Great Britain-1,1992,No medal
New Zealand,1996,No medal
New Zealand,2000,No medal
New Zealand,2016,No medal
Japan,2016,No medal
Kenya,1988,No medal
Belgium,2000,No medal
Soviet Union,1980,Gold
Poland,1992,No medal
Poland,1992,Gold
Turkey,2016,No medal
Poland,2004,No medal
Poland,2012,No medal
Poland,2016,No medal
Poland,1988,Bronze
Poland,1988,No medal
Poland,1992,No medal
Great Britain,2012,Bronze
Great Britain,2016,No medal
Netherlands,1988,No medal
Netherlands,1996,Gold
Argentina,2012,No medal
Argentina,2012,No medal
Argentina,2016,No medal
Argentina,2016,No medal
Argentina,2016,No medal
Bulgaria,1988,No medal
Austria,1996,No medal
Moldova,1996,No medal
Kazakhstan,2008,Bronze
West Germany,1984,No medal
West Germany,1988,Bronze
West Germany,1984,No medal
West Germany,1988,Bronze
Poland,2000,No medal
Poland,2004,No medal
Poland,2008,No medal
East Germany,1980,No medal
East Germany,1980,No medal
East Germany,1980,Silver
Germany,2008,No medal
Germany,2008,No medal
Germany,2012,No medal
Germany,2012,No medal
Moldova,2008,No medal
Croatia,2004,No medal
Croatia,2008,No medal
Latvia,2008,No medal
Latvia,2012,No medal
Yugoslavia,1984,Bronze
Australia,2000,No medal
United States,2016,No medal
Australia,2000,No medal
Russia,1996,No medal
Russia,2000,Silver
Mexico,1996,No medal
Tanzania,1980,No medal
Germany,2000,Bronze
United States,1984,Silver
United States,1984,Gold
Romania,1992,No medal
Romania,1996,No medal
Romania,2000,No medal
Romania,2004,No medal
Romania,2008,No medal
Romania,2012,No medal
Poland,1996,No medal
Austria,2008,No medal
Brazil,1984,No medal
Brazil,1988,Bronze
Brazil,1992,No medal
Brazil,1996,Bronze
Brazil,2016,No medal
Brazil,2016,Gold
Brazil,1984,Silver
Brazil,1988,Bronze
Brazil,1992,No medal
Brazil,1996,Gold
Brazil,2000,Bronze
Brazil,2004,Gold
Andorra,1988,No medal
Andorra,1988,No medal
Austria,2016,No medal
Switzerland,2016,No medal
Germany,2016,No medal
Uruguay,1996,No medal
Switzerland,1980,No medal
Germany,2016,No medal
Austria,2000,Silver
West Germany,1988,Gold
West Germany,1988,Bronze
Germany,1992,Silver
Germany,1992,No medal
France,2012,No medal
France,2012,No medal
France,2016,No medal
France,2012,Silver
Great Britain,2000,No medal
Italy,2000,No medal
Australia,2000,No medal
Australia,2000,Silver
Australia,2004,No medal
Australia,2004,No medal
Australia,2004,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1988,No medal
Canada,1988,No medal
Federated States of Micronesia,2012,No medal
Australia,1988,No medal
Australia,1988,Bronze
Australia,1992,Bronze
Canada,2008,No medal
United States,1996,No medal
United States,1996,Gold
Jamaica,2000,Silver
Jamaica,2000,Silver
Canada,1992,No medal
New Zealand,1984,No medal
Ireland,1980,No medal
Canada,1996,No medal
Canada,2000,No medal
New Zealand,1988,No medal
Jamaica,1988,Silver
South Africa,1996,No medal
Jamaica,1988,No medal
Jamaica,1988,Silver
Jamaica,1992,Silver
Jamaica,1996,No medal
West Germany,1988,Bronze
West Germany,1988,No medal
Canada,2008,No medal
New Zealand,2016,No medal
Great Britain,2000,Silver
Great Britain,2004,Silver
Great Britain,2008,Silver
Great Britain,2012,Gold
Great Britain,2016,Silver
Canada,2016,No medal
Australia,1992,No medal
Australia,1996,No medal
Mexico,2012,No medal
Mexico,2016,No medal
Mexico,2008,No medal
Uruguay,2000,No medal
Germany,2016,Bronze
Germany,2016,Bronze
Denmark,2012,No medal
Greece,1992,No medal
Greece,1984,No medal
Greece,2004,No medal
Unified Team,1992,No medal
Russia,2008,No medal
Norway,1984,No medal
Paraguay,2016,No medal
Spain,1992,No medal
Spain,1996,No medal
Spain,2000,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Guatemala,1984,No medal
Costa Rica,2004,No medal
Brazil,2008,No medal
Argentina,2016,No medal
Italy,2004,No medal
Italy,2008,Bronze
Italy,2008,Bronze
Canada,1992,No medal
Haiti,2016,No medal
Spain,2012,No medal
Italy,1996,No medal
Italy,2000,No medal
Italy,2000,No medal
Italy,1984,No medal
Italy,1984,No medal
Belgium,2008,No medal
Belgium,2008,No medal
Italy,2000,No medal
Slovenia,2016,No medal
France,1980,No medal
Brazil,1980,No medal
France,2012,No medal
France,2016,No medal
France,2016,No medal
United States,1996,Gold
France,1984,No medal
France,1984,Silver
France,1992,Bronze
Hungary,1992,No medal
Hungary,1996,No medal
Russia,2008,Bronze
Russia,2012,Gold
Russia,2016,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2008,No medal
Sweden,2008,No medal
Sweden,2008,No medal
Spain-2,2012,No medal
Sweden,2012,No medal
Sweden,2012,No medal
Sweden,2012,No medal
Australia,2012,No medal
Saint Vincent and the Grenadines,2004,No medal
Zimbabwe,1980,Gold
Sierra Leone,1988,No medal
Sierra Leone,1988,No medal
Sierra Leone,1988,No medal
Sierra Leone,1992,No medal
Canada,1988,No medal
Canada,1988,No medal
Great Britain,1988,No medal
Great Britain,1992,No medal
Great Britain,1996,No medal
Canada,1988,No medal
Canada,2004,No medal
Canada,2008,No medal
Sweden,1980,No medal
Sweden,1984,No medal
Australia,2016,No medal
Australia,2008,No medal
France,2004,No medal
Mexico,2008,No medal
Italy,1992,No medal
Argentina,2016,No medal
France,2016,No medal
Romania,1992,No medal
Romania,1996,No medal
Romania,2000,No medal
Sweden,1992,No medal
Venezuela,2016,No medal
Germany,2008,No medal
Canada,1984,No medal
Hungary,2016,No medal
Cuba,2016,No medal
Cuba,2016,No medal
Spain,1988,No medal
Spain,1992,No medal
Soviet Union,1988,No medal
Russia,1996,No medal
Russia,2000,No medal
France,2000,No medal
Greece,2008,No medal
Sweden,1984,No medal
Sweden,1984,No medal
Portugal,2004,No medal
Canada,1992,No medal
Canada,1996,No medal
Canada,1984,No medal
Netherlands,2000,No medal
Netherlands,2004,Bronze
Netherlands,2008,Silver
United States,1984,Gold
Australia,2008,No medal
United States,2016,No medal
United States,2016,Bronze
United States,2012,No medal
United States,1992,No medal
United States,1992,No medal
United States,1996,No medal
United States,2000,Bronze
United States,2004,No medal
Italy,1980,No medal
Italy,1996,Silver
Italy,2000,Bronze
United States,2016,No medal
Canada,1984,No medal
Ireland,1980,No medal
Canada,1984,No medal
Belize,1988,No medal
Belize,1992,No medal
United States,1984,No medal
United States,1988,No medal
United States,1992,Bronze
United States,1996,No medal
Jamaica,1984,No medal
United States,1988,No medal
United States,1988,No medal
Australia,1996,No medal
Australia,1996,No medal
Australia,2000,No medal
Australia,2000,No medal
Australia,2008,No medal
Australia,2008,No medal
Australia,1984,No medal
Bermuda,1984,No medal
Bermuda,1988,No medal
New Zealand,2012,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Jamaica,1996,No medal
United States,1988,Bronze
New Zealand,2004,No medal
New Zealand,2004,No medal
Antigua and Barbuda,2008,No medal
Brazil,2008,No medal
France,1992,No medal
Brazil,2004,Silver
Brazil,2012,No medal
United States,2008,No medal
Serbia and Montenegro,1996,Bronze
Serbia and Montenegro,2000,Gold
Serbia and Montenegro,2004,No medal
Serbia,2008,No medal
Serbia and Montenegro,1996,Bronze
Serbia and Montenegro,2000,Gold
Serbia and Montenegro,2004,No medal
Puerto Rico,2004,No medal
Trinidad and Tobago,2016,No medal
Great Britain,2000,No medal
Canada,1992,No medal
Great Britain,1980,No medal
Great Britain,1984,No medal
Canada,1988,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
Russia,2004,No medal
France,2016,No medal
France,2016,Silver
Unified Team,1992,Gold
Russia,1996,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2008,No medal
Russia,2012,No medal
Russia,2012,Bronze
Russia,2012,No medal
Russia,2016,No medal
Russia,2016,No medal
Russia,2012,No medal
Russia,2008,No medal
Russia,2012,No medal
Italy,2012,No medal
Italy,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
Romania,1980,No medal
United States,2000,No medal
South Africa,2012,No medal
New Zealand,2008,No medal
United States,1984,No medal
United States,1996,Bronze
Australia,1984,No medal
Jamaica,1984,No medal
Jamaica,1984,No medal
Australia,2000,No medal
Australia,1988,No medal
Australia,1988,No medal
Australia,1992,No medal
Australia,1992,Gold
Australia,1996,No medal
United States,1984,Silver
United States,2016,Gold
Australia,2016,Gold
South Africa,1996,No medal
South Africa,1996,No medal
South Africa,2000,No medal
Malaysia,2016,No medal
Great Britain,2012,No medal
Great Britain,2012,No medal
Great Britain,2016,No medal
South Africa,2016,No medal
Jamaica,2012,No medal
Germany,1996,No medal
Germany,2000,No medal
Barbados,1988,No medal
Saint Lucia,1996,No medal
Jamaica,1992,No medal
Jamaica,1996,No medal
Jamaica,1996,No medal
Great Britain,1988,No medal
Australia,1992,Gold
Australia,1996,Gold
Great Britain,2004,No medal
Canada,2000,No medal
Canada,2008,No medal
Australia,1988,No medal
Australia,2004,No medal
Sweden,2008,No medal
Sweden,2012,No medal
British Virgin Islands,1984,No medal
British Virgin Islands,1984,No medal
United States,1992,Bronze
Antigua and Barbuda,2016,No medal
Antigua and Barbuda,2016,No medal
Great Britain,2012,No medal
Great Britain,2012,No medal
Bahamas,1984,No medal
Germany,2008,No medal
United States,1992,Bronze
United States,1996,Bronze
United States,2000,Gold
United States,2000,Gold
United States,2004,Bronze
United States,2004,Silver
Australia,1996,No medal
Australia,1996,No medal
United States,1992,No medal
Ireland,1980,No medal
Ireland,1984,No medal
Ireland,1988,No medal
Great Britain,2000,No medal
Australia,1992,No medal
Australia,1992,No medal
Canada,2008,No medal
Canada,2008,No medal
New Zealand,1992,No medal
Costa Rica,1988,No medal
Costa Rica,1988,No medal
Costa Rica,1988,No medal
United States,2000,No medal
United States,2004,No medal
United States,2008,No medal
United States,1984,No medal
Libya,1992,No medal
Croatia,1992,No medal
Italy,2004,Gold
East Germany,1980,Gold
Denmark,2016,No medal
United States,1984,No medal
Italy,2000,No medal
Brazil,2004,No medal
Brazil,2004,No medal
Brazil,2008,No medal
Mozambique,1992,No medal
Brazil,2016,No medal
Italy,2016,No medal
Italy,2016,No medal
New Zealand,2012,No medal
New Zealand,2016,No medal
United States,2008,Silver
Great Britain,2012,Gold
Great Britain,2016,Gold
Cuba,1992,Bronze
Cuba,1992,Silver
Cuba,1996,No medal
Cuba,1996,Bronze
Cuba,2000,No medal
Cuba,2000,No medal
Croatia,1992,Silver
Australia,2012,No medal
Australia,2016,No medal
United States,1984,No medal
United States,1988,No medal
United States,1992,No medal
East Germany,1988,Gold
Germany,2012,No medal
United States,1996,Bronze
Australia,2000,No medal
Switzerland,2004,No medal
Greece,1996,No medal
Greece,2000,No medal
Panama,2016,No medal
Australia,1984,No medal
Australia,1984,Gold
Italy,2008,No medal
Italy,2012,No medal
Italy,2012,No medal
Italy,2016,No medal
Italy,2016,No medal
Norway,1984,Bronze
West Germany,1984,No medal
Canada,2000,No medal
Poland,1980,No medal
Poland,1988,No medal
Luxembourg,2016,No medal
Germany,2000,No medal
Germany,2000,No medal
Germany,2004,No medal
Sweden,1992,No medal
Sweden,1992,No medal
Sweden,1996,No medal
Sweden,1996,No medal
Sweden,2000,No medal
Sweden,2000,No medal
Brazil,1984,No medal
United States,2008,Gold
United States,2008,Silver
United States,2008,Gold
United States,2012,Silver
United States,2012,Gold
United States,2012,Gold
Great Britain,2008,No medal
Great Britain,2012,No medal
Great Britain,2016,Silver
Canada,1992,No medal
Australia,1996,No medal
Australia,1996,No medal
Australia,1996,Bronze
United States,1984,Gold
Australia,1984,Bronze
Chile,2012,No medal
Chile,2016,No medal
Chile,2016,No medal
Serbia,2016,No medal
