Country,Year,Medal
Iraq,2012,No medal
Iraq,1980,No medal
Saudi Arabia,1984,No medal
United Arab Emirates,1996,No medal
North Yemen,1988,No medal
Kuwait,1980,No medal
Kuwait,1980,No medal
Indonesia,2004,No medal
Iraq,2004,No medal
Iraq,2004,No medal
Canada,2008,No medal
Egypt,2012,No medal
Iraq,2012,No medal
Egypt,1992,No medal
Egypt,1992,No medal
Qatar,2008,No medal
Egypt,1988,No medal
United States,2004,No medal
Iraq,1992,No medal
Egypt,1992,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1988,No medal
United Arab Emirates,1984,No medal
Kuwait,1992,No medal
Malaysia,1996,No medal
Malaysia,1996,No medal
Malaysia,1996,No medal
Malaysia,2000,No medal
Singapore,1992,No medal
Singapore,1996,No medal
Nigeria,1988,No medal
Azerbaijan,2016,No medal
Azerbaijan,1996,No medal
Azerbaijan,2000,No medal
Uzbekistan,1996,No medal
Uzbekistan,2000,Gold
Uzbekistan,2012,No medal
Uzbekistan,2016,No medal
Azerbaijan,1996,Silver
Azerbaijan,2000,Gold
Azerbaijan,2004,No medal
Azerbaijan,2012,No medal
Azerbaijan,2008,No medal
Egypt,2008,No medal
Egypt,2012,No medal
United Arab Emirates,2012,No medal
United Arab Emirates,2012,No medal
Egypt,2008,No medal
Egypt,2012,No medal
Egypt,2012,No medal
Kuwait,1980,No medal
Kuwait,1988,No medal
Kuwait,1992,No medal
Iraq,2016,No medal
Egypt,2008,No medal
Egypt,2012,No medal
United States,2000,Gold
Uzbekistan,2004,No medal
Kyrgyzstan,2008,No medal
Kyrgyzstan,2012,No medal
Uzbekistan,2016,No medal
Tajikistan,2016,No medal
Russia,2016,No medal
Tajikistan,2004,No medal
Tajikistan,2008,Silver
Tajikistan,2012,No medal
Libya,1980,No medal
Unified Team,1992,Gold
Uzbekistan,2000,No medal
Soviet Union,1988,No medal
Uzbekistan,1996,No medal
Kyrgyzstan,2004,No medal
Japan,1992,No medal
Japan,2000,No medal
Japan,2008,No medal
Japan,1996,No medal
Japan,1984,No medal
Japan,1988,No medal
Japan,1992,No medal
Japan,1984,No medal
Japan,2000,No medal
Japan,2004,No medal
Congo (Brazzaville),1980,No medal
Ethiopia,1992,No medal
Ethiopia,1992,Bronze
Ethiopia,1992,No medal
Ethiopia,1992,No medal
Algeria,1988,No medal
Egypt,2008,No medal
Iran,2012,No medal
Iran,2016,No medal
Cameroon,1984,No medal
Spain,2004,No medal
United States,2008,No medal
Canada,2008,No medal
Canada,2012,No medal
Canada,2012,Bronze
Canada,2016,No medal
Canada,2016,No medal
Germany,2008,No medal
Germany,2008,No medal
Germany,2008,No medal
Germany,2008,No medal
Germany,2008,No medal
Spain,2000,No medal
Spain,2004,No medal
Cuba,2012,No medal
Spain,1992,Gold
Germany,2008,No medal
Germany,2016,No medal
Mexico,2016,No medal
Spain,1988,No medal
Cameroon,1996,No medal
Ethiopia,2000,Gold
Ethiopia,2016,No medal
Sweden,1988,No medal
Morocco,2012,No medal
United States,2000,Gold
Algeria,1996,No medal
Turkey,2004,No medal
Turkey,2004,No medal
Turkey,2008,Silver
Turkey,2008,No medal
Sri Lanka,2000,No medal
Sri Lanka,2000,No medal
Sri Lanka,2016,No medal
